Fund Name,Maturity Year
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund(G)-Direct Plan,2025
HDFC Nifty G-Sec Dec 2026 Index Fund(G)-Direct Plan,2026
Bandhan CRISIL IBX Gilt June 2027 Index Fund(G)-Direct Plan,2027
Bandhan CRISIL IBX Gilt April 2028 Index Fund(G)-Direct Plan,2028
SBI CRISIL IBX Gilt Index - Apr 2029 Fund(G)-Direct Plan,2029
ICICI Pru Nifty G-Sec Dec 2030 Index Fund(G)-Direct Plan,2030
HDFC Nifty G-Sec Jul 2031 Index Fund(G)-Direct Plan,2031
HDFC Nifty G-Sec Sep 2032 Index Fund(G)-Direct Plan,2032
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund(G)-Direct Plan,2033
Axis CRISIL IBX SDL June 2034 Debt Index Fund(G)-Direct Plan,2034
SBI CRISIL IBX Gilt Index - June 2036 Fund(G)-Direct Plan,2036
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund(G)-Direct Plan,2037
